instance,method,parameter,value,run,seed,makespan,decode_calls,time,optimum
la03,ga,tournament_pct,0.6,8,8007,622,200001,8.918125579999469,597
la03,ga,tournament_pct,0.6,9,9007,633,200001,9.005531560000236,597
ft10,annealing,T0,5,0,7,973,200000,5.492703007999808,930
ft10,annealing,T0,5,1,1007,973,200000,5.4163296000006085,930
ft10,annealing,T0,5,2,2007,959,200000,5.469480588999431,930
ft10,annealing,T0,5,3,3007,995,200000,5.3693931320003685,930
ft10,annealing,T0,5,4,4007,1001,200000,5.57405023299998,930
ft10,annealing,T0,5,5,5007,1001,200000,5.525696654000058,930
ft10,annealing,T0,5,6,6007,1000,200000,5.430430226000681,930
ft10,annealing,T0,5,7,7007,952,200000,5.587781533999987,930
ft10,annealing,T0,5,8,8007,976,200000,5.443527749999703,930
ft10,annealing,T0,5,9,9007,994,200000,5.542277341999579,930
ft10,annealing,T0,20,0,7,951,200000,5.285003279000193,930
ft10,annealing,T0,20,1,1007,951,200000,5.46169899799952,930
ft10,annealing,T0,20,2,2007,951,200000,5.354830605999268,930
ft10,annealing,T0,20,3,3007,966,200000,5.503215690000616,930
ft10,annealing,T0,20,4,4007,971,200000,5.455480818999604,930
ft10,annealing,T0,20,5,5007,952,200000,5.480274325999744,930
ft10,annealing,T0,20,6,6007,955,200000,5.454766197000026,930
ft10,annealing,T0,20,7,7007,962,200000,5.368111560000216,930
ft10,annealing,T0,20,8,8007,957,200000,5.379897755999991,930
ft10,annealing,T0,20,9,9007,951,200000,5.363272677999703,930
ft10,annealing,T0,50,0,7,951,200000,5.408426430000873,930
ft10,annealing,T0,50,1,1007,991,200000,5.351738585999556,930
ft10,annealing,T0,50,2,2007,937,200000,5.33457852399988,930
ft10,annealing,T0,50,3,3007,960,200000,5.499060471999655,930
ft10,annealing,T0,50,4,4007,955,200000,5.507259003000399,930
ft10,annealing,T0,50,5,5007,973,200000,5.4356064150006205,930
ft10,annealing,T0,50,6,6007,962,200000,5.51837287699982,930
ft10,annealing,T0,50,7,7007,937,200000,5.607336404999842,930
ft10,annealing,T0,50,8,8007,972,200000,5.429162747999726,930
ft10,annealing,T0,50,9,9007,956,200000,5.406256785000551,930
ft10,annealing,T0,100,0,7,971,200000,5.610768369999278,930
ft10,annealing,T0,100,1,1007,937,200000,5.567905509000411,930
ft10,annealing,T0,100,2,2007,960,200000,5.544391784999789,930
ft10,annealing,T0,100,3,3007,969,200000,5.506402801000149,930
ft10,annealing,T0,100,4,4007,997,200000,5.585286057000303,930
